Country,Country code,Cluster1990,Cluster2015,Flow_1990_2015,Transition_Types,AA,AB,BA,BB,BC,CB,CC,CD,DB,DC,DD,agriculture add(%gdp),CO2(ton),"Industry, value added (% of GDP)",population,unemployment rate,"Agriculture, value added (% of GDP)","Agriculture, value added (current US$)",Agriculture value added per worker (constant 2010 US$),"Industry, value added (% of GDP)","Industry, value added (current US$)",CO2 emissions (metric tons per capita),"Population, total",Population growth (annual %),"Population, female (% of total)","Population, male (% of total)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Air transport, passengers carried","Air transport, freight (million ton-km)","Air transport, registered carrier departures worldwide","International tourism, number of arrivals","International tourism, number of departures","International tourism, receipts (current US$)","International tourism, expenditures (current US$)","International tourism, expenditures (% of total imports)","International tourism, receipts (% of total exports)",Exports of goods and services (% of GDP),Exports of goods and services (annual % growth),Exports of goods and services (current US$),Imports of goods and services (% of GDP),Imports of goods and services (annual % growth),Imports of goods and services (current US$),Renewable internal freshwater resources per capita (cubic meters),"Improved water source, rural (% of rural population with access)",Improved water source (% of population with access),Improved sanitation facilities (% of population with access),"Improved sanitation facilities, rural (% of rural population with access)",Mobile cellular subscriptions,Mobile cellular subscriptions (per 100 people),Fixed broadband subscriptions,Fixed broadband subscriptions (per 100 people),Individuals using the Internet (% of population),Secure Internet servers (per 1 million people),Researchers in R&D (per million people),"Patent applications, residents","Patent applications, nonresidents",Rail lines (total route-km),"Railways, goods transported (million ton-km)","Railways, passengers carried (million passenger-km)",Urban population (% of total),Urban population growth (annual %),Oil rents (% of GDP)
Afghanistan,AFG,ClusterD_1990,ClusterD_2015,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,28.4778878,0.138101396,24.32234419,23231772.48,4.861920015,28.4778878,3160474815,650.8440693,24.32234419,2821092603,0.138101396,22792377.88,4.047615281,48.45554256,51.54445744,4.861920015,8.349999905,837621.1196,36.66594439,11278.24282,0,0,126250000,125000000,1.682390014,6.431489118,18.27539961,0,1566350313,59.03987944,0,6445271889,2138.224206,29.752,36.228,25.396,22.648,4688060.27,15.89299471,1453.36,0.004829169,2.902425089,0.520329835,0,0,0,0,0,0,22.22626923,5.556443466,0.027157017
Albania,ALB,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,29.73400535,1.210456913,24.39802366,3050069.111,14.72839993,29.73400535,1419398485,2656.53502,24.39802366,1491220111,1.210456913,3056760.19,-0.43773358,49.80885887,50.19114113,14.72839993,15.40153837,263386.2216,0.064857143,4525.018575,1410428.57,2602470.59,988428571.4,846333333.3,18.82459309,53.03521015,20.94041346,13.66669991,1764988276,45.65112877,7.716800628,3250680311,8881.363443,93.95,95.75,85.36153846,78.30769231,1287697.73,40.52158798,119346.6,3.762693442,19.51907175,10.21820663,157.34364,9,152.5,486.7777778,71.75,141.29,45.31053846,1.340218737,1.741913761
Algeria,DZA,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,10.19751446,3.120851913,52.45121215,32786335.85,19.00264004,10.19751446,9261261822,3514.291137,52.45121215,49193576005,3.120851913,32485577.54,1.755894362,49.41323405,50.58676595,19.00264004,18.30909087,3532867.843,18.53578444,47605.07692,1461571.43,1536666.67,230952381,424857142.9,1.327064828,0.619099086,33.85148011,1.061844433,36098475459,26.24498432,4.595427567,28260881568,342.83584,83.6,88.37692308,84.21538462,74.12307692,13886750.73,37.02013024,779506.08,2.027546255,8.246709238,0.840058506,168.12009,52.17,386.63,4001.334286,1772.173913,1517.7,61.73673077,2.991185177,13.5469314
Andorra,AND,ClusterA_1990,ClusterA_2015,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,0.479690037,6.888829993,15.77894754,71991.55556,3.8375,0.479690037,12939207.94,7761.589404,15.77894754,428554731.2,6.888829993,71788.12,1.527177289,0,0,0,0,0,0,0,2500000,0,0,0,0,0,0,0,0,0,0,0,4400.043727,100,100,100,100,37374.35,48.33817652,18749.64,23.59923146,46.12546906,653.6350846,0,0,0,0,0,0,90.80342308,1.109830469,0
Angola,AGO,ClusterD_1990,ClusterC_2015,D_1990-C_2015,DC,0,0,0,0,0,0,0,0,0,1,0,10.7956277,0.815452945,58.59993862,19107242.56,6.826720009,10.7956277,871909325.2,0,58.59993862,4159180190,0.815452945,18733926.38,3.295238192,51.10392318,48.89607682,6.826720009,0,547045.3077,55.80680769,7573.346154,244714.29,3000,371428571.4,229523809.5,1.428058138,0.975656647,65.26845882,118.2396148,25951624167,54.52120479,136.8414916,19367842842,8014.409374,36.43076923,46.45384615,36.00769231,14.62692308,3898997.12,19.22590585,34503.2,0.161232398,2.56605558,1.869804991,52.41019,4,2,0,0,0,34.47911538,5.481282211,40.67253181
Antigua and Barbuda,ATG,ClusterA_1990,ClusterB_2015,A_1990-B_2015,AB,0,1,0,0,0,0,0,0,0,0,0,1.956265428,4.550279666,16.82049837,85368.44444,8.33,1.956265428,15335974.36,2453.589831,16.82049837,136779247.9,4.550279666,84768.65,1.558807648,52.03925099,47.96074901,0,8.420000076,1091920.02,0.300660646,52932.89597,238095.24,377500,301047619.1,39578947.37,6.352329677,60.0479162,57.83667608,1.180059021,489466464.4,65.97322525,1.528384558,582460270.7,610.6509989,97.72692308,97.72692308,84.59090909,84.59090909,79039.9,91.40603942,7905,8.978307817,28.02131166,653.0195957,0,0,9.4,0,0,0,30.23480769,0.033498761,0
Argentina,ARG,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,7.225862395,4.001113531,30.57393274,38313441.07,11.3210001,7.225862395,18961937510,16727.19386,30.57393274,81006961784,4.001113531,38100595.35,1.142039378,51.05515478,48.94484522,11.3210001,10.75560019,7626251.381,185.8497789,111076.977,3974952.38,4933238.1,3902714286,5394809524,12.48323235,7.794905416,15.1894156,4.918576331,45505295679,12.98191566,12.20327468,41244995604,7594.505878,84.37307692,96.68076923,92.16538462,84.82307692,23723831.77,58.80461948,3076339.27,7.539239371,21.2600859,25.41470276,904.7867794,785.12,3993.69,30105.66667,11489.34845,8944.86,89.55319231,1.363687379,2.012090213
Armenia,ARM,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,26.68228028,1.344459287,37.12741871,3072882,17.63775993,26.68228028,1027969168,8907.513467,37.12741871,1678589930,1.344459287,3078576.85,-0.740731623,52.82128514,47.17871486,17.63775993,14.46545455,394600.1,6.32588479,4361.35,435714.29,535062.5,386380952.4,386333333.3,10.5681511,19.83524963,27.31368702,1.868860144,1281060775,50.1092351,-0.213700167,2368704021,2253.484636,87.19583333,94.8625,89.44583333,78.26666667,1085013.23,36.43670626,94933.93,3.188792889,13.22934282,16.75319967,0,144.14,26.52,801.0173913,814.8598333,124.7,64.712,-1.036915553,0
Aruba,ABW,ClusterA_1990,ClusterA_2015,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,0.466562491,22.53348631,18.29501486,91529.51852,6.9,0.466562491,8562693.979,1232.153942,18.29501486,343191806.3,22.53348631,91018.27,2.062561788,51.73354259,48.26645741,0,7.376249969,0,0,0,779857.14,0,1081076190,228523809.5,8.621304958,40.54939216,71.90616175,0,1432835196,77.67267475,0,1571083799,0,94.94615385,94.94615385,98.08076923,98.08076923,68904.35,68.52890599,14945.27,14.68348264,39.63466377,294.9105587,0,1,0,0,0,0,45.89288462,1.322901561,0
Australia,AUS,ClusterA_1990,ClusterA_2015,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,3.158725228,16.72216196,27.78086397,20170336,6.751720009,3.158725228,18894868985,45951.11637,27.78086397,1.82628E+11,16.72216196,20018150.5,1.334622442,50.11877389,49.88122611,6.751720009,6.758076888,42119738.36,1960.965112,435185.9616,5307714.29,5257190.48,21838333333,18410809524,10.37062929,14.38713215,19.11340757,5.266142164,1.40732E+11,20.12145899,6.544575405,1.47455E+11,24328.28275,100,100,100,100,13010553.92,60.47710898,3893121.43,17.28634316,44.86852862,1041.749789,3882.085961,2319.1,20703,9559.4,41540.94494,1351.33,87.46953846,1.511667843,0.628372471
Austria,AUT,ClusterA_1990,ClusterA_2015,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,1.929449104,7.902887479,30.80038232,8164153.556,4.802919989,1.929449104,4609477334,27741.66662,30.80038232,78458159643,7.902887479,8141722.62,0.480354235,51.49342176,48.50657824,4.802919989,4.924230786,7951936.613,316.1182308,127278.0482,20439428.57,9489375,16411333333,9959761905,5.461722638,9.365949875,43.96460219,4.703811554,1.34103E+11,42.37948861,4.031145856,1.28096E+11,6719.343089,100,100,100,100,6648486.65,79.84948353,1390872,16.5814392,41.66270211,657.7951708,3973.283591,2107.19,356.81,5493.153846,16684.17654,9347.46,65.82780769,0.494548467,0.048235076
Azerbaijan,AZE,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,15.83250438,4.184062123,50.01973366,8370866.148,6.422359943,15.83250438,1852449473,2328.628895,50.01973366,13519532753,4.184062123,8317350.46,1.165440494,50.82346485,49.17653515,6.422359943,5.393599986,1105840.083,74.4777309,14234.47826,1252000,2151400,725238095.2,828000000,7.84583025,5.582268428,46.79262335,14.96067548,12538839288,41.40784101,16.09672667,7321271125,966.2232488,62.44230769,76.66153846,73.55909091,64.45454545,3464289.04,37.86444205,709183.33,7.538083978,21.8984452,4.303961773,0,220.12,13,2097.45625,9236.748,725.76,52.71746154,1.205291193,21.67486226
Bahamas,BHS,ClusterA_1990,ClusterB_2015,A_1990-B_2015,AB,0,1,0,0,0,0,0,0,0,0,0,2.61435313,5.622257822,16.44402651,320796.2593,11.43848013,2.61435313,142311923.1,33176.16716,16.44402651,937900846.2,5.622257822,318087.19,1.650678074,50.97438355,49.02561645,11.43848013,10.86681828,1079242.904,0.630324176,27189.584,1502952.38,0,1915047619,378190476.2,11.26390734,69.20846453,45.0219277,1.425624433,2763910385,50.81663721,3.264512269,3180775769,2181.958519,97.24347826,97.24347826,89.91818182,89.91818182,163282,46.43916555,32785.93,8.986437808,29.09355848,231.4918196,0,1.83,58.33,0,0,0,81.81480769,1.82100291,0
