Country,Country code,Cluster1990,Flow_1990_2015,Transition_Types,AA,AB,BA,BB,BC,CB,CC,CD,DB,DC,DD,Cluster2015,Life_expectancy,population,CO2(ton),unemployment rate,"Industry, value added (% of GDP)",agriculture add(%gdp)
Afghanistan,AFG,ClusterD_1990,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,ClusterD_2015,28.08461538,23231772.48,0.138101396,4.861920015,24.32234419,28.4778878
Albania,ALB,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,35.4,3050069.111,1.210456913,14.72839993,24.39802366,29.73400535
Algeria,DZA,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,28.82,32786335.85,3.120851913,19.00264004,52.45121215,10.19751446
Andorra,AND,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,83.69615385,71991.55556,6.888829993,3.8375,15.77894754,0.479690037
Angola,AGO,ClusterD_1990,D_1990-C_2015,DC,0,0,0,0,0,0,0,0,0,1,0,ClusterC_2015,26.98,19107242.56,0.815452945,6.826720009,58.59993862,10.7956277
Antigua and Barbuda,ATG,ClusterA_1990,A_1990-B_2015,AB,0,1,0,0,0,0,0,0,0,0,0,ClusterB_2015,33.54,85368.44444,4.550279666,8.33,16.82049837,1.956265428
Argentina,ARG,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,33.2,38313441.07,4.001113531,11.3210001,30.57393274,7.225862395
Armenia,ARM,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,34,3072882,1.344459287,17.63775993,37.12741871,26.68228028
Aruba,ABW,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,34.42,91529.51852,22.53348631,6.9,18.29501486,0.466562491
Australia,AUS,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,34.05,20170336,16.72216196,6.751720009,27.78086397,3.158725228
Austria,AUT,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,34.4,8164153.556,7.902887479,4.802919989,30.80038232,1.929449104
Azerbaijan,AZE,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,29.17,8370866.148,4.184062123,6.422359943,50.01973366,15.83250438
Bahamas,BHS,ClusterA_1990,A_1990-B_2015,AB,0,1,0,0,0,0,0,0,0,0,0,ClusterB_2015,35.18,320796.2593,5.622257822,11.43848013,16.44402651,2.61435313
Bahrain,BHR,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,30.3,879973.037,24.28725606,1.329200006,42.96423346,0.5886398
Bangladesh,BGD,ClusterD_1990,D_1990-C_2015,DC,0,0,0,0,0,0,0,0,0,1,0,ClusterC_2015,25.5,136890951.7,0.267144377,3.81236002,24.63119286,21.96477435
Barbados,BRB,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,32.12,272624.5556,4.517667012,12.89520014,16.52466461,2.454889468
Belarus,BLR,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,36.2,9820828.741,6.283098855,0.664840008,41.09636536,13.04553744
Belgium,BEL,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,40.10038462,10519764.52,10.39100746,7.97239996,25.38495309,1.051288819
Belize,BLZ,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,26.5,270211.3704,1.639380029,10.83708009,20.05822505,16.13356884
Benin,BEN,ClusterD_1990,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,ClusterD_2015,31,7668311.296,0.342311613,0.990079987,22.6281444,29.11198215
Bermuda,BMU,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,75.10769231,62657.48148,8.706880921,8,9.031897626,0.804278489
Bhutan,BTN,ClusterC_1990,C_1990-B_2015,CB,0,0,0,0,0,1,0,0,0,0,0,ClusterB_2015,28.8,634087.4815,0.648744161,2.562559981,37.27871153,25.29701888
Bolivia,BOL,ClusterC_1990,C_1990-B_2015,CB,0,0,0,0,0,1,0,0,0,0,0,ClusterB_2015,33,8826811.778,1.332899115,4.295640039,33.45028944,14.83512664
Bosnia and Herzegovina,BIH,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,35.1,3814797.556,3.971537676,23.36908012,26.82952285,12.92299841
Botswana,BWA,ClusterC_1990,C_1990-C_2015,CC,0,0,0,0,0,0,1,0,0,0,0,ClusterC_2015,33.6,1809176.222,2.114781227,18.50968006,45.49479868,3.303707897
