Country_Name,Country_Code,Year,GDP_per_capita,GDP_per_capita_growth,GDP_per_capita_PPP,Next_5_years_GDP_per_capita_PPP ,Improved_water_source_percernt_of_rural_population_with_access,Patent_applications_residents,Population,Life_expectancy_years,Patent_applications_per_million_people
Arab World,ARB,1993,1974.89059,0.528204552,7410.218682,8717.792414,71.08760706,702,241286091,65.34564806,2.909409312
Arab World,ARB,1994,1970.315735,0.644636501,7599.375721,8868.319711,71.18179073,703,247435930,65.71336137,2.841139522
Arab World,ARB,1995,2053.721421,-0.304363936,7729.773563,9339.903178,71.32923271,795,255029671,66.12496448,3.117284341
Arab World,ARB,1996,2216.775124,2.150023306,8045.484112,9523.969684,71.46195228,902,260843462,66.48417504,3.458012683
Arab World,ARB,1998,2172.848006,2.915048582,8717.792414,9927.576745,71.63870994,777,272235146,67.1432097,2.854150213
Arab World,ARB,1999,2316.459293,-0.290158385,8868.319711,10895.29582,71.69583458,809,277962869,67.43459739,2.910460677
Arab World,ARB,2000,2589.64845,3.192788229,9339.903178,11609.99341,71.75064225,1124,283832016,67.70347437,3.960088844
Arab World,ARB,2001,2495.366312,-0.496033754,9523.969684,12412.69697,71.85614243,831,289850357,67.95668321,2.866996641
Arab World,ARB,2002,2462.791442,-1.514160184,9523.825359,13006.35667,71.95169491,991,296026575,68.20217114,3.347672418
Arab World,ARB,2003,2721.615721,3.087775572,9927.576745,13702.03758,72.03784624,874,302434519,68.44820923,2.88988176
Arab World,ARB,2004,3117.660806,6.956465136,10895.29582,13598.35502,72.11063246,932,309162029,68.69853756,3.014600477
Arab World,ARB,2005,3745.79093,3.342112357,11609.99341,14087.97154,72.22969617,982,316264728,68.95180524,3.104993738
Arab World,ARB,2007,4937.598218,2.086985619,13006.35667,15126.00635,72.41989833,1027,331653797,69.44569144,3.09660257
Arab World,ARB,2010,5916.329624,2.315762187,14087.97154,16321.01768,73.04932547,1551,356508908,70.07136083,4.350522428
Arab World,ARB,2011,6856.593678,1.189912876,14463.51283,16756.49573,73.34751334,1688,364895878,70.25569431,4.625977167
United Arab Emirates,ARE,2011,40462.31209,1.431369888,58404.01559,72418.61086,100,26,8672475,76.85978049,2.99799077
Argentina,ARG,1990,4318.7747,-3.789115675,6990.554045,10129.77779,68.8,955,32729739,71.54365854,29.17835672
Argentina,ARG,1991,5715.504397,11.09415299,8024.592354,10754.19842,70,943,33193918,71.76329268,28.40881875
Argentina,ARG,1992,6798.026763,10.40666248,9061.645587,11688.7464,71.3,503,33655151,71.98895122,14.94570623
Argentina,ARG,1993,6940.350358,4.491865975,9693.967279,12132.51039,72.5,787,34110917,72.21565854,23.07179253
Argentina,ARG,1994,7449.48039,4.46663129,10342.47624,11769.14997,73.8,694,34558115,72.44139024,20.08211385
Argentina,ARG,1995,7373.428246,-4.057600675,10129.77779,11810.06136,75,676,34994814,72.66512195,19.31714796
Argentina,ARG,1996,7683.574065,4.260870624,10754.19842,11419.05887,76.3,1097,35419682,72.88734146,30.97148077
Argentina,ARG,1997,8172.664323,6.861143328,11688.7464,10217.2731,77.5,824,35833969,73.10804878,22.99494092
Argentina,ARG,1998,8248.761989,2.68214197,12132.51039,11217.57193,78.8,861,36241590,73.32768293,23.75723582
Argentina,ARG,1999,7736.369623,-4.457046577,11769.14997,12430.71372,80,899,36648068,73.54426829,24.53062464
Argentina,ARG,2000,7669.273916,-1.885010517,11810.06136,13817.71407,81.3,1062,37057452,73.75580488,28.65820348
Argentina,ARG,2001,7170.694674,-5.465113906,11419.05887,15227.5125,82.5,691,37471509,73.96031707,18.44067716
Argentina,ARG,2002,2579.193168,-11.87718049,10217.2731,16865.54476,83.7,718,37889370,74.15578049,18.949906
Argentina,ARG,2003,3330.437006,7.643794185,11217.57193,17711.44179,85,792,38309379,74.34126829,20.67378853
Argentina,ARG,2004,4251.574348,7.849106146,12430.71372,16618.12085,86.2,786,38728696,74.51878049,20.29502878
Argentina,ARG,2005,5076.883829,7.69268852,13817.71407,18333.5437,87.5,1054,39145488,74.68831707,26.92519761
Argentina,ARG,2006,5878.761027,6.918027086,15227.5125,19629.35185,88.7,1020,39558890,74.85141463,25.78434329
Argentina,ARG,2007,7193.61764,7.885851981,16865.54476,19579.00648,90,937,39970224,75.01156098,23.44245056
Argentina,ARG,2008,8953.359275,2.995167422,17711.44179,20161.49683,91.2,801,40382389,75.17129268,19.83537923
Argentina,ARG,2009,8161.306966,-6.880148575,16618.12085,19801.25912,92.5,640,40799407,75.33109756,15.6865025
Argentina,ARG,2010,10276.2605,8.99143796,18333.5437,20337.71595,93.7,552,41223889,75.49202439,13.39029416
Argentina,ARG,2011,12726.90836,4.902125244,19629.35185,19934.37249,95,688,41656879,75.65356098,16.51587965
Armenia,ARM,1993,357.2043385,-6.638380399,1290.473115,2015.105575,75.8,184,3363098,68.08565854,54.71145949
Armenia,ARM,1994,400.5160919,7.949829941,1422.709776,2126.915169,75.8,154,3283660,68.39860976,46.89888722
Armenia,ARM,1995,456.3758997,9.103492501,1584.60047,2318.238073,75.8,187,3217342,68.7895122,58.12251231
Armenia,ARM,1996,504.059514,7.506971646,1734.655302,2613.784567,75.8,162,3168215,69.24312195,51.13289344
Armenia,ARM,1997,523.2835691,4.479543335,1843.378545,3020.453987,77.3,62,3133086,69.73885366,19.78879609
Armenia,ARM,1998,609.1730254,8.142264637,2015.105575,3531.968643,78.8,75,3108684,70.24817073,24.12596456
Armenia,ARM,1999,597.4334817,3.957685309,2126.915169,4031.947204,80.2,109,3089017,70.74534146,35.28630629
Armenia,ARM,2000,622.7427477,6.570295525,2318.238073,4769.489004,81.7,119,3069588,71.19965854,38.76741765
Armenia,ARM,2001,694.4305119,10.23657282,2613.784567,5607.645869,83.2,140,3050655,71.58197561,45.8917839
Armenia,ARM,2002,783.2616099,13.81149513,3020.453987,6605.216696,84.7,200,3033897,71.88839024,65.92181607
Armenia,ARM,2003,930.1661567,14.64886278,3531.968643,7260.968756,86.1,151,3017806,72.12097561,50.03635091
Armenia,ARM,2005,1643.758397,14.60487652,4769.489004,6567.258582,89.1,206,2981259,72.39878049,69.0983239
Armenia,ARM,2006,2158.002909,14.06880742,5607.645869,7022.103943,90.6,192,2958500,72.4912439,64.89775224
Armenia,ARM,2007,3138.808703,14.73596617,6605.216696,7649.491409,92,135,2933056,72.5932439,46.02707892
Armenia,ARM,2008,4010.026997,7.812918694,7260.968756,7997.387128,93.5,226,2908220,72.72590244,77.71076466
Armenia,ARM,2009,2993.832531,-13.56639792,6323.578336,8396.742595,95,116,2888584,72.8987561,40.15808438
Armenia,ARM,2010,3218.381655,2.600408784,6567.258582,8709.541088,96.5,136,2877311,73.10929268,47.2663539
Armenia,ARM,2011,3526.978143,4.762989356,7022.103943,8817.953996,98,121,2875581,73.34597561,42.07845302
Australia,AUS,1995,20384.66929,2.641878448,21005.2024,26406.13095,100,1784,18072000,77.82926829,98.71624613
Australia,AUS,1996,21944.15506,2.592040036,22075.36783,27431.0754,100,1797,18311000,78.07804878,98.13773142
Australia,AUS,1997,23551.22217,2.79120713,23020.74339,28717.2892,100,1760,18517000,78.4804878,95.04779392
Australia,AUS,1998,21365.98141,3.35728009,24246.14669,29723.68385,100,1862,18711000,78.63170732,99.51365507
Australia,AUS,1999,20561.47678,3.813926147,25299.35977,31345.22087,100,1858,18926000,78.93170732,98.17182712
Australia,AUS,2000,21690.921,2.636834169,26406.13095,32591.80935,100,1928,19153000,79.23414634,100.6630815
Australia,AUS,2001,19517.84168,0.564896166,27431.0754,34356.76641,100,2187,19413000,79.63414634,112.6564673
Australia,AUS,2002,20081.81763,2.593040335,28717.2892,36596.00841,100,2364,19651400,79.93658537,120.2967727
Australia,AUS,2003,23465.38559,1.80426058,29723.68385,37506.90682,100,2418,19895400,80.23902439,121.5356314
Australia,AUS,2004,30472.37977,2.945228429,31345.22087,40282.31372,100,2559,20127400,80.4902439,127.1401175
Australia,AUS,2005,34016.71483,1.850427299,32591.80935,39191.03563,100,2555,20394800,80.84146341,125.2770314
Australia,AUS,2006,36118.28381,1.470043994,34356.76641,41782.28494,100,2837,20697900,81.04146341,137.0670454
Australia,AUS,2007,40991.98289,3.103645266,36596.00841,42616.14892,100,2718,20827600,81.29268293,130.4999136
Australia,AUS,2008,49664.68504,1.640692117,37506.90682,45668.68911,100,2821,21249200,81.39512195,132.7579391
Australia,AUS,2009,42742.99898,-0.264956601,40282.31372,46446.02724,100,2494,21691700,81.54390244,114.9748521
Australia,AUS,2010,51874.08048,0.431465531,39191.03563,46475.92775,100,2409,22031750,81.69512195,109.3421993
Australia,AUS,2011,62245.10029,0.960159777,41782.28494,46789.92724,100,2383,22340024,81.89512195,106.6695363
Austria,AUT,1990,21628.76023,3.553547811,19394.23375,23587.93849,100,2025,7677850,75.56829268,263.7457101
Austria,AUT,1991,22356.92392,2.413986068,20523.52157,24475.62123,100,2076,7754891,75.61707317,267.7020219
Austria,AUT,1992,24820.22783,0.976092341,21196.26616,25350.5991,100,2117,7840709,75.81707317,270.001093
Austria,AUT,1993,24023.51547,-0.298754084,21635.75071,26577.10663,100,2190,7905633,76.06829268,277.0176658
Austria,AUT,1994,25584.91782,2.008761625,22540.04335,27547.94554,100,1989,7936118,76.4195122,250.6263138
Austria,AUT,1995,30252.79469,2.510912833,23587.93849,29301.08698,100,1728,7948278,76.66829268,217.4055814
Austria,AUT,1996,29742.42881,2.260149557,24475.62123,29725.42733,100,1909,7959017,76.87073171,239.8537407
Austria,AUT,1997,26646.88394,2.089269973,25350.5991,31119.20999,100,1910,7968041,77.3195122,239.7076019
Austria,AUT,1998,27289.63071,3.446394579,26577.10663,31987.22057,100,1957,7976789,77.67073171,245.3368141
Austria,AUT,1999,27116.67608,3.388635746,27547.94554,33649.41335,100,2028,7992324,77.87560976,253.7434669
Austria,AUT,2000,24517.26745,3.120139786,29301.08698,34866.84044,100,1961,8011566,78.12682927,244.7711222
Austria,AUT,2001,24489.73553,0.963288543,29725.42733,37455.51021,100,1815,8042293,78.57560976,225.6819044
Austria,AUT,2002,26351.37568,1.156956244,31119.20999,39150.87728,100,1932,8081957,78.67804878,239.051012
Austria,AUT,2003,32102.93055,0.266532716,31987.22057,41058.63054,100,2120,8121423,78.63170732,261.0379979
Austria,AUT,2004,36693.40262,2.070515729,33649.41335,40704.40971,100,2248,8171966,79.1804878,275.0868029
Austria,AUT,2005,38242.04252,1.447196507,34866.84044,41906.72959,100,2270,8227829,79.33170732,275.8929482
