brand,Country,Disp,Disp2,Eng.Rev,Front.Hd,Frt.Leg.Room,Frt.Shld,Gear.Ratio,Gear2,HP,HP.revs,Height,Length,Luggage,Mileage,Price,Rear.Hd,Rear.Seating,RearShld,Reliability,Sratio.m,Sratio.p,Steering,Tank,Trans1,Trans2,Turning,Type,Weight,Wheel.base,Width
Subaru Justy,Japan,73,1.2,2945,2.5,40.5,51,3.02,2.99,73,5600,50.5,146,9,34,5866,0.5,23.5,50.5,NA,0.86,NA,manual,9.2,man.5,auto.CVT,32,Small,1900,90,60
Toyota Tercel,Japan,89,1.5,2765,3,40.5,53,3.03,3.72,78,6000,49.5,167,13,35,6488,1.5,25,52.5,Much better,0.83,0.69,both,11.9,man.5,auto.3,35,Small,2075,94,64
Mazda Protege,Japan,113,1.8,2735,4,40.5,54,3,2.43,103,5500,49,172,13,32,6599,2.5,26.5,54,Much better,0.8,0.71,both,14.5,man.5,auto.4,36,Small,2440,98,66
Pontiac LeMans,Korea,98,1.6,2295,5,41.5,53.5,2.64,3.43,74,5600,50,172,18,28,7254,2.5,25.5,53,Much worse,1.05,0.78,both,13.2,man.5,auto.3,35,Small,2350,99,66
Dodge Shadow,USA,153,2.5,2160,4,41.5,54.5,2.51,3.02,150,4800,51,172,13,NA,8845,2.5,25,53.5,average,NA,0.58,power,14,man.5,auto.3,38,Compact,2670,97,67
Plymouth Laser,USA,107,1.8,2810,3.5,41.5,54,3.27,3.27,92,5000,47,171,10,26,10855,0,23,52,NA,1.01,0.67,both,15.9,man.5,auto.4,39,Sporty,2840,97,67
Subaru Legacy,Japan/USA,135,2.2,2390,2,41,54,2.74,2.57,130,5400,49,178,14,23,11499,2,27.5,53.5,Much better,NA,0.77,power,15.9,man.5,auto.4,37,Compact,2935,102,67
Honda Prelude,Japan,125,2,3115,1.5,42.5,52.5,3.46,3.23,140,6200,47,178,11,27,13945,0,23.5,50.5,Much better,NA,0.63,power,15.9,man.5,auto.4,34,Sporty,2710,101,67
Mazda RX7,Japan,80,1.3,2430,1.5,42,53,2.86,2.81,160,7000,45.5,170,-2,NA,17880,-2,-2,-2,Much better,0.84,0.61,both,18.5,man.5,auto.4,37,Sporty,2790,96,67
Volkswagen Corrado,Germany,109,1.8,2685,2,42,53.5,2.94,NA,158,5600,47,159,19,NA,17900,0,26,51,NA,NA,0.71,power,14.5,man.5,,34,Sporty,2680,97,66
Volvo 240,Sweden,141,2.3,2330,3.5,41.5,54,2.71,2.57,114,5400,52.5,190,14,23,18450,2,29.5,53,average,NA,0.75,power,15.8,man.5,auto.4,37,Compact,2985,104,67
Ford LTD Crown Victoria,USA,302,5,NA,3.5,41.5,61.5,NA,1.83,150,3200,52,211,22,20,17257,2,29,61.5,average,NA,0.83,power,18,,auto.4,45,Large,3850,114,78
Buick Electra,USA,231,3.8,NA,6,42,58.5,NA,1.99,165,4800,50.5,197,16,NA,20225,4.5,30.5,58.5,average,NA,0.83,power,18,,auto.4,43,Large,3350,111,72
Toyota Cressida,Japan,180,3,NA,2,41,55,NA,2.76,190,5600,50.5,190,12,23,21498,1.5,27.5,54.5,average,NA,0.88,power,18.5,,auto.4,36,Medium,3480,106,67
